,Unnamed: 0,brand,year,price_in_euro,power_ps
59372,181712,seat,2019,10880,65
59373,181713,seat,2019,21950,150
59374,181715,seat,2019,14990,80
59375,181716,seat,2019,17190,116
59376,181717,seat,2019,16380,95
59377,181718,seat,2019,20599,150
59378,181719,seat,2019,15920,95
59379,181720,seat,2019,12700,95
59380,181721,seat,2019,23480,190
59381,181722,seat,2019,20433,131
59382,181723,seat,2019,22980,150
59383,181724,seat,2019,31985,300
59384,181725,seat,2019,20990,150
59385,181726,seat,2019,27499,190
59386,181727,seat,2019,28440,300
59387,181728,seat,2019,17499,131
59388,181729,seat,2019,14990,80
59389,181730,seat,2019,29430,190
59390,181731,seat,2019,12790,80
59391,181732,seat,2019,17999,116
59392,181734,seat,2019,18980,116
59393,181735,seat,2019,28480,190
59394,181736,seat,2019,19585,116
59395,181737,seat,2019,14370,80
59396,181738,seat,2019,14370,80
59397,181739,seat,2019,23430,150
59398,181740,seat,2019,11990,60
59399,181742,seat,2019,35920,150
59400,181743,seat,2019,18977,150
59401,181744,seat,2019,23330,150
59402,181745,seat,2019,15550,95
59403,181746,seat,2019,33695,190
59404,181747,seat,2019,12990,75
59405,181748,seat,2019,13590,116
59406,181749,seat,2019,23960,150
59407,181751,seat,2019,16990,95
59408,181752,seat,2019,21450,150
59409,181753,seat,2019,13177,116
59410,181754,seat,2019,10990,75
59411,181755,seat,2019,17990,95
59412,181758,seat,2019,19337,116
59413,181759,seat,2019,23910,150
59414,181760,seat,2019,18650,116
59415,181761,seat,2019,19480,150
59416,181762,seat,2019,18940,150
59417,181764,seat,2019,14577,150
59418,181765,seat,2019,31400,95
59419,181766,seat,2019,17995,150
59420,181767,seat,2019,14585,116
59421,181768,seat,2019,13990,116
59422,181769,seat,2019,25980,150
59423,181770,seat,2019,22790,150
59424,181771,seat,2019,13950,80
59425,181772,seat,2019,18990,131
59426,181773,seat,2019,21490,116
59427,181774,seat,2019,21950,150
59428,181775,seat,2019,31990,150
59429,181776,seat,2019,29790,150
59430,181777,seat,2019,18880,95
59431,181778,seat,2019,16900,116
59432,181779,seat,2019,30970,150
59433,181780,seat,2019,15290,80
59434,181781,seat,2019,17490,116
59435,181783,seat,2019,27940,150
59436,181786,seat,2019,22480,150
59437,181787,seat,2019,10990,95
59438,181788,seat,2019,16220,116
59439,181789,seat,2019,32430,190
59440,181790,seat,2019,27990,150
59441,181792,seat,2019,22777,116
59442,181793,seat,2019,14480,116
59443,181794,seat,2019,19330,190
59444,181795,seat,2019,16950,116
59445,181796,seat,2019,16490,116
59446,181797,seat,2019,19777,150
59447,181798,seat,2019,18000,184
59448,181799,seat,2019,14377,80
59449,181800,seat,2019,32595,150
59450,181801,seat,2019,20750,150
59451,181802,seat,2019,19650,116
59452,181803,seat,2019,16990,116
59453,181804,seat,2019,18900,116
59454,181805,seat,2019,19585,116
59455,181806,seat,2019,27799,190
59456,181807,seat,2019,30430,190
59457,181808,seat,2019,15660,95
59458,181809,seat,2019,25965,150
59459,181810,seat,2019,11900,60
59460,181811,seat,2019,14977,116
59461,181812,seat,2019,34890,150
59462,181813,seat,2019,17450,95
59463,181814,seat,2019,16600,95
59464,181815,seat,2019,26165,150
59465,181816,seat,2019,26165,150
59466,181817,seat,2019,21330,150
59467,181818,seat,2019,14490,95
59468,181819,seat,2019,16650,150
59469,181820,seat,2019,18690,150
59470,181821,seat,2019,23990,150
59471,181822,seat,2019,18690,116
59472,181823,seat,2019,13970,80
59473,181825,seat,2019,20970,150
59474,181827,seat,2019,17990,131
59475,181829,seat,2019,17490,131
59476,181830,seat,2019,19990,131
59477,181831,seat,2019,17990,116
59478,181832,seat,2019,15490,95
59479,181833,seat,2019,17888,116
59480,181834,seat,2019,21220,95
59481,181835,seat,2019,20000,150
59482,181836,seat,2019,22177,150
59483,181837,seat,2019,24444,190
59484,181838,seat,2019,13900,90
59485,181840,seat,2019,24799,150
59486,181841,seat,2019,18890,116
59487,181842,seat,2019,33990,190
59488,181843,seat,2019,31750,190
59489,181844,seat,2019,36500,190
59490,181845,seat,2019,9930,60
59491,181846,seat,2019,17990,116
59492,181847,seat,2019,26895,150
59493,181851,seat,2019,24780,150
59494,181852,seat,2019,12790,80
59495,181854,seat,2019,21990,150
59496,181855,seat,2019,17760,95
59497,181856,seat,2019,17777,116
59498,181857,seat,2019,19940,116
59499,181858,seat,2019,14590,80
59500,181859,seat,2019,18930,116
