,Unnamed: 0,brand,year,price_in_euro,power_ps
78903,238113,volkswagen,2019,21230,150
78904,238114,volkswagen,2019,52440,286
78905,238115,volkswagen,2019,17850,116
78906,238116,volkswagen,2019,24880,150
78907,238117,volkswagen,2019,13690,65
78908,238118,volkswagen,2019,18930,116
78909,238119,volkswagen,2019,25990,131
78910,238120,volkswagen,2019,24980,190
78911,238121,volkswagen,2019,19999,150
78912,238122,volkswagen,2019,40990,177
78913,238124,volkswagen,2019,23950,150
78914,238125,volkswagen,2019,25490,150
78915,238126,volkswagen,2019,19480,150
78916,238127,volkswagen,2019,23990,131
78917,238128,volkswagen,2019,36499,190
78918,238129,volkswagen,2019,34890,190
78919,238130,volkswagen,2019,56990,286
78920,238131,volkswagen,2019,24960,150
78921,238132,volkswagen,2019,27490,150
78922,238133,volkswagen,2019,20990,116
78923,238134,volkswagen,2019,34980,102
78924,238135,volkswagen,2019,14950,116
78925,238136,volkswagen,2019,15990,102
78926,238137,volkswagen,2019,34980,102
78927,238138,volkswagen,2019,31990,190
78928,238139,volkswagen,2019,25300,122
78929,238140,volkswagen,2019,18990,102
78930,238141,volkswagen,2019,17980,150
78931,238142,volkswagen,2019,24960,150
78932,238143,volkswagen,2019,28499,122
78933,238144,volkswagen,2019,36980,102
78934,238146,volkswagen,2019,23930,131
78935,238147,volkswagen,2019,18900,120
78936,238148,volkswagen,2019,27490,150
78937,238149,volkswagen,2019,31000,150
78938,238150,volkswagen,2019,27449,190
78939,238151,volkswagen,2019,43900,199
78940,238152,volkswagen,2019,20900,190
78941,238153,volkswagen,2019,14999,116
78942,238154,volkswagen,2019,18750,116
78943,238156,volkswagen,2019,22999,245
78944,238157,volkswagen,2019,33330,300
78945,238158,volkswagen,2019,19990,116
78946,238160,volkswagen,2019,17840,116
78947,238161,volkswagen,2019,22995,150
78948,238162,volkswagen,2019,26490,190
78949,238165,volkswagen,2019,23999,150
78950,238166,volkswagen,2019,21000,131
78951,238167,volkswagen,2019,19890,116
78952,238168,volkswagen,2019,24999,131
78953,238169,volkswagen,2019,22650,150
78954,238170,volkswagen,2019,26990,150
78955,238172,volkswagen,2019,43500,231
78956,238173,volkswagen,2019,19290,150
78957,238174,volkswagen,2019,25999,150
78958,238175,volkswagen,2019,26000,150
78959,238176,volkswagen,2019,14880,116
78960,238177,volkswagen,2019,13250,65
78961,238178,volkswagen,2019,31000,300
78962,238179,volkswagen,2019,17950,150
78963,238180,volkswagen,2019,14770,116
78964,238181,volkswagen,2019,20200,150
78965,238182,volkswagen,2019,18950,200
78966,238183,volkswagen,2019,19577,116
78967,238185,volkswagen,2019,49389,286
78968,238186,volkswagen,2019,22990,150
78969,238187,volkswagen,2019,27750,184
78970,238188,volkswagen,2019,31500,190
78971,238189,volkswagen,2019,36980,102
78972,238190,volkswagen,2019,29950,150
78973,238191,volkswagen,2019,25950,150
78974,238192,volkswagen,2019,16380,86
78975,238193,volkswagen,2019,22990,116
78976,238195,volkswagen,2019,22900,184
78977,238196,volkswagen,2019,38800,300
78978,238197,volkswagen,2019,26000,245
78979,238198,volkswagen,2019,29899,190
78980,238199,volkswagen,2019,12200,80
78981,238200,volkswagen,2019,15900,95
78982,238201,volkswagen,2019,24999,190
78983,238202,volkswagen,2019,24999,150
78984,238203,volkswagen,2019,22490,131
78985,238204,volkswagen,2019,44990,286
78986,238205,volkswagen,2019,26290,150
78987,238207,volkswagen,2019,18800,116
78988,238208,volkswagen,2019,22980,116
78989,238209,volkswagen,2019,23900,150
78990,238210,volkswagen,2019,19970,116
78991,238211,volkswagen,2019,26450,150
78992,238212,volkswagen,2019,39710,258
78993,238213,volkswagen,2019,27990,184
78994,238215,volkswagen,2019,22990,150
78995,238216,volkswagen,2019,23999,184
78996,238217,volkswagen,2019,28900,177
78997,238218,volkswagen,2019,29900,190
78998,238219,volkswagen,2019,19930,150
78999,238220,volkswagen,2019,26690,300
79000,238221,volkswagen,2019,21890,245
79001,238223,volkswagen,2019,51699,286
79002,238224,volkswagen,2019,16990,116
79003,238225,volkswagen,2019,21500,184
79004,238226,volkswagen,2019,19900,150
79005,238227,volkswagen,2019,15877,150
79006,238228,volkswagen,2019,17980,200
79007,238229,volkswagen,2019,24490,150
79008,238230,volkswagen,2019,16299,116
79009,238231,volkswagen,2019,28930,190
79010,238232,volkswagen,2019,19444,150
79011,238233,volkswagen,2019,21490,150
79012,238235,volkswagen,2019,53950,199
79013,238236,volkswagen,2019,26000,150
79014,238237,volkswagen,2019,28900,177
79015,238238,volkswagen,2019,17600,116
79016,238239,volkswagen,2019,24770,184
79017,238240,volkswagen,2019,27930,245
79018,238241,volkswagen,2019,20450,150
79019,238242,volkswagen,2019,24980,190
79020,238243,volkswagen,2019,31880,239
79021,238244,volkswagen,2019,26991,190
79022,238245,volkswagen,2019,14450,80
79023,238246,volkswagen,2019,18430,95
79024,238248,volkswagen,2019,27499,150
79025,238249,volkswagen,2019,32490,239
79026,238250,volkswagen,2019,25900,150
79027,238251,volkswagen,2019,32950,177
79028,238252,volkswagen,2019,29990,245
79029,238253,volkswagen,2019,26850,190
79030,238254,volkswagen,2019,35829,177
79031,238255,volkswagen,2019,26990,245
79032,238256,volkswagen,2019,18500,131
79033,238257,volkswagen,2019,23220,150
79034,238258,volkswagen,2019,31480,300
79035,238259,volkswagen,2019,20900,200
79036,238261,volkswagen,2019,23447,200
79037,238262,volkswagen,2019,14880,80
79038,238263,volkswagen,2019,25499,150
79039,238264,volkswagen,2019,19330,116
79040,238266,volkswagen,2019,18450,200
79041,238267,volkswagen,2019,19990,184
79042,238269,volkswagen,2019,23730,150
79043,238270,volkswagen,2019,31900,300
79044,238271,volkswagen,2019,13940,116
79045,238272,volkswagen,2019,29991,190
79046,238273,volkswagen,2019,29590,190
79047,238274,volkswagen,2019,22490,150
79048,238275,volkswagen,2019,36930,300
79049,238276,volkswagen,2019,21780,116
79050,238277,volkswagen,2019,14980,116
79051,238278,volkswagen,2019,17970,95
79052,238279,volkswagen,2019,24880,150
79053,238280,volkswagen,2019,18990,150
79054,238281,volkswagen,2019,29490,190
79055,238282,volkswagen,2019,17439,116
79056,238283,volkswagen,2019,22690,150
79057,238284,volkswagen,2019,19860,116
79058,238285,volkswagen,2019,24990,116
79059,238287,volkswagen,2019,19099,150
79060,238288,volkswagen,2019,30980,290
79061,238290,volkswagen,2019,31000,245
79062,238291,volkswagen,2019,14996,116
79063,238292,volkswagen,2019,18990,116
79064,238293,volkswagen,2019,14490,95
79065,238294,volkswagen,2019,25980,150
79066,238295,volkswagen,2019,49000,199
79067,238296,volkswagen,2019,32490,239
79068,238297,volkswagen,2019,23990,150
79069,238300,volkswagen,2019,21850,131
79070,238301,volkswagen,2019,27930,190
79071,238303,volkswagen,2019,21440,150
79072,238304,volkswagen,2019,19190,116
79073,238305,volkswagen,2019,24980,150
79074,238306,volkswagen,2019,47490,150
79075,238307,volkswagen,2019,23980,122
79076,238308,volkswagen,2019,25950,245
79077,238309,volkswagen,2019,20650,116
79078,238310,volkswagen,2019,22980,150
79079,238311,volkswagen,2019,16980,150
79080,238312,volkswagen,2019,47999,199
79081,238313,volkswagen,2019,20850,150
79082,238314,volkswagen,2019,26392,150
79083,238315,volkswagen,2019,22440,131
79084,238316,volkswagen,2019,23980,272
79085,238317,volkswagen,2019,19880,150
