,Unnamed: 0,brand,year,price_in_euro,power_ps
66380,195494,skoda,2019,16299,150
66381,195495,skoda,2019,14480,116
66382,195496,skoda,2019,30688,190
66383,195497,skoda,2019,17480,150
66384,195498,skoda,2019,23950,190
66385,195499,skoda,2019,14480,110
66386,195500,skoda,2019,14950,116
66387,195501,skoda,2019,19990,116
66388,195502,skoda,2019,16410,116
66389,195503,skoda,2019,23800,190
66390,195504,skoda,2019,37490,239
66391,195505,skoda,2019,37490,239
66392,195506,skoda,2019,31497,150
66393,195509,skoda,2019,23780,245
66394,195511,skoda,2019,20888,116
66395,195512,skoda,2019,16170,116
66396,195513,skoda,2019,12960,95
66397,195514,skoda,2019,19890,116
66398,195515,skoda,2019,27580,184
66399,195518,skoda,2019,40780,239
66400,195519,skoda,2019,30950,150
66401,195520,skoda,2019,17980,150
66402,195523,skoda,2019,12650,75
66403,195524,skoda,2019,21990,150
66404,195525,skoda,2019,29650,190
66405,195526,skoda,2019,14990,110
66406,195528,skoda,2019,20400,116
66407,195529,skoda,2019,19950,150
66408,195530,skoda,2019,23980,150
66409,195531,skoda,2019,32980,150
66410,195532,skoda,2019,20700,116
66411,195533,skoda,2019,21990,150
66412,195534,skoda,2019,20995,150
66413,195535,skoda,2019,23870,150
66414,195536,skoda,2019,23990,150
66415,195537,skoda,2019,23489,150
66416,195538,skoda,2019,10990,60
66417,195539,skoda,2019,20990,190
66418,195540,skoda,2019,20817,245
66419,195542,skoda,2019,20990,190
66420,195543,skoda,2019,34390,190
66421,195544,skoda,2019,15999,110
66422,195545,skoda,2019,18590,116
66423,195546,skoda,2019,35570,190
66424,195547,skoda,2019,24558,190
66425,195548,skoda,2019,29480,190
66426,195549,skoda,2019,12450,95
66427,195550,skoda,2019,21000,150
66428,195551,skoda,2019,24749,184
66429,195552,skoda,2019,25790,150
66430,195553,skoda,2019,16975,150
66431,195554,skoda,2019,13998,95
66432,195555,skoda,2019,15970,116
66433,195556,skoda,2019,20990,150
66434,195557,skoda,2019,25590,190
66435,195558,skoda,2019,19380,150
66436,195559,skoda,2019,24990,150
66437,195560,skoda,2019,15995,116
66438,195561,skoda,2019,27930,150
66439,195562,skoda,2019,17660,150
66440,195563,skoda,2019,13300,116
66441,195565,skoda,2019,26600,150
66442,195566,skoda,2019,17950,116
66443,195567,skoda,2019,14200,110
66444,195568,skoda,2019,39850,239
66445,195569,skoda,2019,21990,184
66446,195570,skoda,2019,26500,150
66447,195571,skoda,2019,32490,239
66448,195572,skoda,2019,21950,150
66449,195574,skoda,2019,22590,150
66450,195575,skoda,2019,17660,150
66451,195576,skoda,2019,18900,150
66452,195577,skoda,2019,15980,95
66453,195578,skoda,2019,25990,190
66454,195579,skoda,2019,19150,95
66455,195581,skoda,2019,21249,116
66456,195582,skoda,2019,26150,190
66457,195583,skoda,2019,18990,150
66458,195584,skoda,2019,24288,184
66459,195585,skoda,2019,38470,190
66460,195586,skoda,2019,17950,116
66461,195587,skoda,2019,40490,239
66462,195588,skoda,2019,26790,190
66463,195589,skoda,2019,11299,60
66464,195590,skoda,2019,31990,150
66465,195591,skoda,2019,23999,150
66466,195592,skoda,2019,31990,190
66467,195593,skoda,2019,15950,110
66468,195594,skoda,2019,12600,116
66469,195595,skoda,2019,30890,190
66470,195596,skoda,2019,18950,95
66471,195597,skoda,2019,24689,190
66472,195598,skoda,2019,24900,150
66473,195599,skoda,2019,18490,116
66474,195602,skoda,2019,10999,60
66475,195603,skoda,2019,27990,150
66476,195604,skoda,2019,14900,150
66477,195605,skoda,2019,16340,116
66478,195606,skoda,2019,17950,95
66479,195607,skoda,2019,27860,150
66480,195608,skoda,2019,24444,150
66481,195609,skoda,2019,22470,150
66482,195610,skoda,2019,17880,150
66483,195611,skoda,2019,21788,150
66484,195612,skoda,2019,22999,150
66485,195613,skoda,2019,12499,60
66486,195615,skoda,2019,24870,150
66487,195617,skoda,2019,26860,150
66488,195618,skoda,2019,12990,60
66489,195620,skoda,2019,24950,150
66490,195621,skoda,2019,38670,190
66491,195622,skoda,2019,21788,150
66492,195623,skoda,2019,11960,95
66493,195625,skoda,2019,20890,150
66494,195626,skoda,2019,27900,150
66495,195629,skoda,2019,18995,116
66496,195631,skoda,2019,15980,116
66497,195632,skoda,2019,13990,75
66498,195633,skoda,2019,28499,150
66499,195634,skoda,2019,14950,150
66500,195635,skoda,2019,21480,150
66501,195637,skoda,2019,18930,150
66502,195638,skoda,2019,23499,116
66503,195639,skoda,2019,27650,150
66504,195640,skoda,2019,19500,116
66505,195641,skoda,2019,26749,184
66506,195642,skoda,2019,18750,150
66507,195643,skoda,2019,38850,239
66508,195644,skoda,2019,21850,150
66509,195645,skoda,2019,15220,75
66510,195646,skoda,2019,23930,150
66511,195647,skoda,2019,28190,190
66512,195648,skoda,2019,11490,95
66513,195649,skoda,2019,16900,150
66514,195650,skoda,2019,21990,150
66515,195651,skoda,2019,29939,150
66516,195652,skoda,2019,21990,150
66517,195653,skoda,2019,10700,116
66518,195654,skoda,2019,32490,190
66519,195655,skoda,2019,22430,150
66520,195656,skoda,2019,27490,190
66521,195657,skoda,2019,16480,116
66522,195659,skoda,2019,10950,60
66523,195660,skoda,2019,15470,116
66524,195661,skoda,2019,21930,150
66525,195662,skoda,2019,22660,150
66526,195664,skoda,2019,18800,150
66527,195665,skoda,2019,12950,150
66528,195666,skoda,2019,22850,116
66529,195667,skoda,2019,28450,190
66530,195668,skoda,2019,14385,95
66531,195669,skoda,2019,28450,150
66532,195670,skoda,2019,9790,75
66533,195671,skoda,2019,20650,150
66534,195672,skoda,2019,17870,116
66535,195673,skoda,2019,14880,75
66536,195674,skoda,2019,11330,95
66537,195675,skoda,2019,20770,116
66538,195676,skoda,2019,27180,184
66539,195677,skoda,2019,23470,150
66540,195678,skoda,2019,28000,190
66541,195679,skoda,2019,21680,116
66542,195680,skoda,2019,13290,95
66543,195681,skoda,2019,17624,95
66544,195682,skoda,2019,20880,150
66545,195683,skoda,2019,37450,239
66546,195684,skoda,2019,16990,116
66547,195685,skoda,2019,20990,116
66548,195686,skoda,2019,21000,116
66549,195688,skoda,2019,24970,190
66550,195689,skoda,2019,12790,95
66551,195690,skoda,2019,23924,150
66552,195691,skoda,2019,21490,150
66553,195692,skoda,2019,25490,150
66554,195693,skoda,2019,26680,150
66555,195694,skoda,2019,26790,190
66556,195695,skoda,2019,12900,60
66557,195696,skoda,2019,15450,150
66558,195697,skoda,2019,21680,150
66559,195698,skoda,2019,19550,116
66560,195699,skoda,2019,20350,150
66561,195700,skoda,2019,23000,190
66562,195701,skoda,2019,15790,116
66563,195702,skoda,2019,13990,75
66564,195703,skoda,2019,17960,150
66565,195707,skoda,2019,25990,150
66566,195708,skoda,2019,20690,150
66567,195709,skoda,2019,26990,150
66568,195710,skoda,2019,24999,150
66569,195711,skoda,2019,11990,60
66570,195712,skoda,2019,22450,184
66571,195713,skoda,2019,22660,150
66572,195714,skoda,2019,16880,116
66573,195715,skoda,2019,29979,150
66574,195716,skoda,2019,24990,150
66575,195717,skoda,2019,23470,150
66576,195718,skoda,2019,15990,110
66577,195719,skoda,2019,27490,150
66578,195720,skoda,2019,19950,116
66579,195721,skoda,2019,30849,190
66580,195722,skoda,2019,30649,190
66581,195724,skoda,2019,27600,150
66582,195725,skoda,2019,21800,150
66583,195726,skoda,2019,29500,272
66584,195727,skoda,2019,26290,190
66585,195728,skoda,2019,19750,150
66586,195729,skoda,2019,21990,150
66587,195730,skoda,2019,28449,272
66588,195731,skoda,2019,14450,95
66589,195732,skoda,2019,14990,150
66590,195733,skoda,2019,26479,190
66591,195734,skoda,2019,26750,190
66592,195735,skoda,2019,23990,150
66593,195736,skoda,2019,33990,272
66594,195737,skoda,2019,32300,190
66595,195738,skoda,2019,26990,190
66596,195740,skoda,2019,32890,150
