,Unnamed: 0,brand,model,year,price_in_euro,power_ps
80921,240366,volkswagen, Caddy,2020,20990,102
80922,240368,volkswagen, Caddy,2020,28879,131
80933,240387,volkswagen, Caddy,2020,33890,122
80947,240407,volkswagen, Caddy,2020,26320,122
81013,240490,volkswagen, Caddy,2020,40950,102
81038,240516,volkswagen, Caddy,2020,31850,122
81050,240529,volkswagen, Caddy,2020,35880,122
81052,240531,volkswagen, Caddy,2020,28880,102
81060,240541,volkswagen, Caddy,2020,29640,102
81062,240544,volkswagen, Caddy,2020,30689,122
81063,240545,volkswagen, Caddy,2020,40999,102
81078,240563,volkswagen, Caddy,2020,32990,150
81134,240652,volkswagen, Caddy,2020,27785,131
81162,240683,volkswagen, Caddy,2020,12990,102
81180,240704,volkswagen, Caddy,2020,28690,150
81187,240715,volkswagen, Caddy,2020,27990,131
81245,240783,volkswagen, Caddy,2020,22440,131
81248,240786,volkswagen, Caddy,2020,25450,102
81291,240835,volkswagen, Caddy,2020,28900,102
81292,240836,volkswagen, Caddy,2020,23500,102
81296,240841,volkswagen, Caddy,2020,25720,102
81317,240866,volkswagen, Caddy,2020,19995,102
81327,240877,volkswagen, Caddy,2020,28599,150
81346,240900,volkswagen, Caddy,2020,29689,102
81362,240920,volkswagen, Caddy,2020,21770,102
81370,240928,volkswagen, Caddy,2020,23790,102
81391,240950,volkswagen, Caddy,2020,23990,102
81400,240959,volkswagen, Caddy,2020,21870,102
81460,241032,volkswagen, Caddy,2020,22360,102
81512,241088,volkswagen, Caddy,2020,24980,122
81612,241207,volkswagen, Caddy,2020,23488,122
81695,241310,volkswagen, Caddy,2020,26230,122
81701,241317,volkswagen, Caddy,2020,21940,122
81702,241318,volkswagen, Caddy,2020,26990,122
81703,241319,volkswagen, Caddy,2020,27990,122
81707,241323,volkswagen, Caddy,2020,26870,122
81709,241325,volkswagen, Caddy,2020,23960,122
81712,241330,volkswagen, Caddy,2020,30650,150
81722,241340,volkswagen, Caddy,2020,36980,102
81724,241343,volkswagen, Caddy,2020,28900,122
81726,241345,volkswagen, Caddy,2020,36980,102
81785,241418,volkswagen, Caddy,2020,29990,150
81805,241443,volkswagen, Caddy,2020,20890,102
81809,241447,volkswagen, Caddy,2020,32999,150
81820,241463,volkswagen, Caddy,2020,22450,102
81955,241637,volkswagen, Caddy,2020,24990,131
81976,241662,volkswagen, Caddy,2020,23695,102
82021,241718,volkswagen, Caddy,2021,30490,114
82025,241723,volkswagen, Caddy,2021,29850,122
82026,241724,volkswagen, Caddy,2021,31820,122
82027,241725,volkswagen, Caddy,2021,28530,102
82031,241729,volkswagen, Caddy,2021,34989,122
82032,241730,volkswagen, Caddy,2021,39300,114
82033,241731,volkswagen, Caddy,2021,26900,102
82034,241732,volkswagen, Caddy,2021,38090,122
82037,241735,volkswagen, Caddy,2021,29150,122
82038,241736,volkswagen, Caddy,2021,27100,102
82041,241739,volkswagen, Caddy,2021,30950,122
82042,241741,volkswagen, Caddy,2021,35600,122
82043,241742,volkswagen, Caddy,2021,26449,75
82044,241743,volkswagen, Caddy,2021,25950,75
82045,241745,volkswagen, Caddy,2021,54990,122
82050,241750,volkswagen, Caddy,2021,79100,122
82055,241757,volkswagen, Caddy,2021,31990,102
82058,241760,volkswagen, Caddy,2021,28450,102
82060,241762,volkswagen, Caddy,2021,33888,114
82061,241763,volkswagen, Caddy,2021,28900,102
82062,241764,volkswagen, Caddy,2021,56890,122
82065,241767,volkswagen, Caddy,2021,25490,114
82068,241771,volkswagen, Caddy,2021,26980,75
82069,241773,volkswagen, Caddy,2021,31890,102
82070,241774,volkswagen, Caddy,2021,31888,122
82076,241780,volkswagen, Caddy,2021,29990,122
82077,241781,volkswagen, Caddy,2021,29850,122
82079,241783,volkswagen, Caddy,2021,29990,122
82081,241787,volkswagen, Caddy,2021,30920,102
82082,241788,volkswagen, Caddy,2021,28330,102
82145,241868,volkswagen, Caddy,2021,22800,102
82160,241892,volkswagen, Caddy,2021,38650,122
82205,241951,volkswagen, Caddy,2021,27490,102
82217,241963,volkswagen, Caddy,2021,25990,75
82218,241964,volkswagen, Caddy,2021,28810,122
82224,241972,volkswagen, Caddy,2021,29179,102
82229,241977,volkswagen, Caddy,2021,32689,122
82239,241987,volkswagen, Caddy,2021,30970,102
82252,242001,volkswagen, Caddy,2021,26900,122
82254,242003,volkswagen, Caddy,2021,23990,102
82256,242005,volkswagen, Caddy,2021,34990,102
82257,242006,volkswagen, Caddy,2021,42500,114
82259,242009,volkswagen, Caddy,2021,28100,122
82260,242010,volkswagen, Caddy,2021,31880,122
82261,242011,volkswagen, Caddy,2021,37500,122
82262,242012,volkswagen, Caddy,2021,30300,122
82265,242019,volkswagen, Caddy,2021,26470,102
82268,242025,volkswagen, Caddy,2021,28500,122
82269,242026,volkswagen, Caddy,2021,33500,122
82270,242027,volkswagen, Caddy,2021,32930,122
82272,242029,volkswagen, Caddy,2021,36490,102
82276,242033,volkswagen, Caddy,2021,28390,102
82277,242034,volkswagen, Caddy,2021,24880,75
82278,242035,volkswagen, Caddy,2021,69750,75
82281,242039,volkswagen, Caddy,2021,72900,102
82282,242040,volkswagen, Caddy,2021,36500,114
82283,242041,volkswagen, Caddy,2021,29800,102
82285,242043,volkswagen, Caddy,2021,31979,122
82286,242044,volkswagen, Caddy,2021,26450,102
82287,242045,volkswagen, Caddy,2021,38350,114
82288,242046,volkswagen, Caddy,2021,28340,122
82289,242047,volkswagen, Caddy,2021,39490,122
82290,242048,volkswagen, Caddy,2021,26990,102
82291,242049,volkswagen, Caddy,2021,26450,102
82292,242050,volkswagen, Caddy,2021,32400,114
82293,242051,volkswagen, Caddy,2021,28790,102
82294,242052,volkswagen, Caddy,2021,29790,102
82295,242053,volkswagen, Caddy,2021,35990,114
82296,242054,volkswagen, Caddy,2021,36989,114
82297,242055,volkswagen, Caddy,2021,28190,102
82298,242056,volkswagen, Caddy,2021,25450,75
82299,242057,volkswagen, Caddy,2021,38680,122
82300,242058,volkswagen, Caddy,2021,27190,102
82381,242170,volkswagen, Caddy,2021,73900,122
82410,242211,volkswagen, Caddy,2021,29998,122
82431,242254,volkswagen, Caddy,2021,25690,131
82434,242259,volkswagen, Caddy,2021,41590,122
82441,242273,volkswagen, Caddy,2021,32870,122
82444,242279,volkswagen, Caddy,2021,32870,122
82453,242291,volkswagen, Caddy,2021,34700,122
82462,242301,volkswagen, Caddy,2021,34600,122
82466,242306,volkswagen, Caddy,2021,31990,122
82479,242320,volkswagen, Caddy,2021,26950,122
82504,242347,volkswagen, Caddy,2021,28890,102
82506,242350,volkswagen, Caddy,2021,36880,122
82507,242351,volkswagen, Caddy,2021,32890,122
82508,242353,volkswagen, Caddy,2021,29900,122
