,brand,model,color,registration_date,year,price_in_euro,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,mileage_in_km
991,alfa-romeo,Alfa Romeo Stelvio,black,10/2021,2021,59950,209,Automatic,Diesel,5.7,1500.0
992,alfa-romeo,Alfa Romeo Stelvio,silver,03/2021,2021,72990,510,Automatic,Petrol,10.0,25100.0
993,alfa-romeo,Alfa Romeo Stelvio,silver,10/2021,2021,49900,280,Automatic,Petrol,7.2,26800.0
994,alfa-romeo,Alfa Romeo Stelvio,white,09/2021,2021,51109,280,Automatic,Petrol,7.2,15999.0
995,alfa-romeo,Alfa Romeo Stelvio,white,10/2021,2021,46560,280,Automatic,Petrol,7.4,8513.0
996,alfa-romeo,Alfa Romeo Stelvio,white,12/2021,2021,42899,190,Automatic,Diesel,5.4,5000.0
997,alfa-romeo,Alfa Romeo Stelvio,white,10/2021,2021,49800,209,Automatic,Diesel,5.7,38500.0
998,alfa-romeo,Alfa Romeo Stelvio,white,12/2021,2021,43099,190,Automatic,Diesel,5.4,5000.0
999,alfa-romeo,Alfa Romeo Stelvio,white,12/2021,2021,43589,190,Automatic,Diesel,5.5,9500.0
1000,alfa-romeo,Alfa Romeo Stelvio,white,12/2021,2021,43789,190,Automatic,Diesel,5.5,9500.0
1001,alfa-romeo,Alfa Romeo Giulia,white,12/2021,2021,44900,280,Automatic,Petrol,6.9,9500.0
1003,alfa-romeo,Alfa Romeo Giulia,white,12/2021,2021,31900,190,Automatic,Diesel,4.8,19490.0
1004,alfa-romeo,Alfa Romeo Giulia,white,03/2021,2021,69990,510,Automatic,Petrol,9.2,7000.0
1005,alfa-romeo,Alfa Romeo Giulia,white,05/2021,2021,56990,280,Automatic,Petrol,7.0,2725.0
1006,alfa-romeo,Alfa Romeo Stelvio,white,04/2021,2021,72740,510,Automatic,Petrol,11.8,25114.0
1007,alfa-romeo,Alfa Romeo Stelvio,white,09/2021,2021,54988,280,Automatic,Petrol,7.8,120.0
1009,alfa-romeo,Alfa Romeo Stelvio,white,06/2021,2021,37485,190,Automatic,Diesel,5.1,25301.0
1010,alfa-romeo,Alfa Romeo Stelvio,white,10/2021,2021,53990,209,Automatic,Diesel,5.5,9850.0
1011,alfa-romeo,Alfa Romeo Stelvio,white,10/2021,2021,57290,209,Automatic,Diesel,5.7,13400.0
1012,alfa-romeo,Alfa Romeo Stelvio,white,02/2021,2021,44790,280,Automatic,Petrol,6.9,24500.0
1013,alfa-romeo,Alfa Romeo Giulia,white,10/2021,2021,47900,280,Automatic,Petrol,7.3,6500.0
1014,alfa-romeo,Alfa Romeo Stelvio,white,07/2021,2021,50800,209,Automatic,Diesel,4.8,17750.0
1015,alfa-romeo,Alfa Romeo Giulia,beige,04/2022,2022,43790,209,Automatic,Diesel,5.6,19522.0
1016,alfa-romeo,Alfa Romeo Giulia,blue,11/2022,2022,59990,280,Automatic,Petrol,8.1,10.0
1017,alfa-romeo,Alfa Romeo Giulia,blue,12/2022,2022,75490,510,Automatic,Petrol,10.0,50.0
1018,alfa-romeo,Alfa Romeo Giulia,blue,11/2022,2022,59990,280,Automatic,Petrol,8.1,10.0
1019,alfa-romeo,Alfa Romeo Tonale,blue,11/2022,2022,41990,131,Automatic,Petrol,6.1,7500.0
1020,alfa-romeo,Alfa Romeo Tonale,blue,11/2022,2022,41990,131,Automatic,Hybrid,6.1,7500.0
1021,alfa-romeo,Alfa Romeo Tonale,blue,12/2022,2022,38990,131,Automatic,Petrol,6.2,32.0
1022,alfa-romeo,Alfa Romeo Tonale,blue,06/2022,2022,41990,131,Automatic,Hybrid,6.1,12500.0
1023,alfa-romeo,Alfa Romeo Tonale,blue,06/2022,2022,39840,131,Automatic,Petrol,5.8,10000.0
1024,alfa-romeo,Alfa Romeo Giulia,blue,03/2022,2022,44980,280,Automatic,Petrol,6.4,5933.0
1025,alfa-romeo,Alfa Romeo Tonale,blue,10/2022,2022,42885,131,Automatic,Hybrid,6.1,2500.0
1026,alfa-romeo,Alfa Romeo Giulia,blue,04/2022,2022,44444,280,Automatic,Petrol,8.4,51.0
1027,alfa-romeo,Alfa Romeo Giulia,blue,05/2022,2022,77290,510,Automatic,Petrol,9.0,20.0
1028,alfa-romeo,Alfa Romeo Giulia,blue,03/2022,2022,42440,280,Automatic,Petrol,7.2,10000.0
1029,alfa-romeo,Alfa Romeo Stelvio,blue,11/2022,2022,59250,280,Automatic,Petrol,8.8,50.0
1030,alfa-romeo,Alfa Romeo Stelvio,blue,04/2022,2022,82790,510,Automatic,Petrol,10.0,20.0
1031,alfa-romeo,Alfa Romeo Stelvio,blue,01/2022,2022,41900,280,Automatic,Petrol,7.0,100.0
1032,alfa-romeo,Alfa Romeo Tonale,blue,11/2022,2022,49970,131,Automatic,Hybrid,6.4,1595.0
1033,alfa-romeo,Alfa Romeo Stelvio,blue,01/2022,2022,83790,280,Automatic,Petrol,7.0,100.0
1034,alfa-romeo,Alfa Romeo Giulia,yellow,07/2022,2022,78990,510,Automatic,Petrol,10.1,50.0
1035,alfa-romeo,Alfa Romeo Giulia,grey,01/2022,2022,52900,280,Automatic,Petrol,7.2,20.0
1036,alfa-romeo,Alfa Romeo Giulia,grey,04/2022,2022,49890,209,Automatic,Diesel,5.7,5000.0
1037,alfa-romeo,Alfa Romeo Giulia,grey,01/2022,2022,57900,280,Automatic,Petrol,7.3,8500.0
1038,alfa-romeo,Alfa Romeo Giulia,grey,01/2022,2022,48990,280,Automatic,Petrol,8.1,9850.0
1039,alfa-romeo,Alfa Romeo Stelvio,grey,06/2022,2022,51999,200,Automatic,Petrol,8.5,25.0
